"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6082","testHomePageChangeLanguageToEn()","","Thu Feb 05 14:24:47 UTC 2026","passed","Thu Feb 05 14:24:54 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","31506","testOpenWorldGamesDisplay()","","Thu Feb 05 14:23:01 UTC 2026","broken","Thu Feb 05 14:23:32 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","2231","testHomePageIsDisplayed()","","Thu Feb 05 14:24:45 UTC 2026","passed","Thu Feb 05 14:24:47 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","5706","testResetFilters()","","Thu Feb 05 14:25:22 UTC 2026","failed","Thu Feb 05 14:25:27 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","22840","testClickFirstGameInSwiper()","","Thu Feb 05 14:24:54 UTC 2026","broken","Thu Feb 05 14:25:16 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","4513","goToJobOfferAndSearchForAJob()","","Thu Feb 05 14:25:41 UTC 2026","broken","Thu Feb 05 14:25:46 UTC 2026","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"","5266","testFilterGoodOldGames()","","Thu Feb 05 14:25:16 UTC 2026","passed","Thu Feb 05 14:25:22 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"","4347","testSearchBindingOf()","","Thu Feb 05 14:25:37 UTC 2026","passed","Thu Feb 05 14:25:41 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"Verify that the user can change the epoch filter to 2010 inside strategy games","23431","testFilterBy2010Epoch()","","Thu Feb 05 14:23:32 UTC 2026","broken","Thu Feb 05 14:23:56 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","24197","testGoToOpenWorld()","","Thu Feb 05 14:24:18 UTC 2026","broken","Thu Feb 05 14:24:43 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"","4846","testFirstResultContainsWitcher()","","Thu Feb 05 14:25:32 UTC 2026","broken","Thu Feb 05 14:25:37 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","2637","testSliderLeft()","","Thu Feb 05 14:24:43 UTC 2026","passed","Thu Feb 05 14:24:45 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"Verify that the user can go to the strategy page","22629","testGoToStrategy()","","Thu Feb 05 14:23:56 UTC 2026","broken","Thu Feb 05 14:24:18 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"","4582","testSearchCyberpunk()","","Thu Feb 05 14:25:27 UTC 2026","passed","Thu Feb 05 14:25:32 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
