"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2575","testHomePageIsDisplayed()","","Thu Feb 05 16:05:23 UTC 2026","passed","Thu Feb 05 16:05:26 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","2629","testSliderLeft()","","Thu Feb 05 16:05:21 UTC 2026","passed","Thu Feb 05 16:05:23 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","4549","testFirstResultContainsWitcher()","","Thu Feb 05 16:06:11 UTC 2026","broken","Thu Feb 05 16:06:15 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"Verify that the user can scroll to the likeable tags","23129","testScrollToLikableTags()","","Thu Feb 05 16:04:13 UTC 2026","broken","Thu Feb 05 16:04:36 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","32727","testOpenWorldGamesDisplay()","","Thu Feb 05 16:02:32 UTC 2026","broken","Thu Feb 05 16:03:04 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","4988","testResetFilters()","","Thu Feb 05 16:06:01 UTC 2026","failed","Thu Feb 05 16:06:06 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","7825","goToJobOfferAndSearchForAJob()","","Thu Feb 05 16:07:05 UTC 2026","broken","Thu Feb 05 16:07:13 UTC 2026","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"","22831","testClickFirstGameInSwiper()","","Thu Feb 05 16:05:32 UTC 2026","broken","Thu Feb 05 16:05:55 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","22682","testGoToAssistancePage()","","Thu Feb 05 16:06:42 UTC 2026","broken","Thu Feb 05 16:07:05 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","23494","testScrollToDisplayGames()","","Thu Feb 05 16:03:27 UTC 2026","broken","Thu Feb 05 16:03:50 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"","5534","testFilterGoodOldGames()","","Thu Feb 05 16:05:55 UTC 2026","passed","Thu Feb 05 16:06:01 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"Verify that the user can change the epoch filter to 2010 inside strategy games","22413","testFilterBy2010Epoch()","","Thu Feb 05 16:03:04 UTC 2026","broken","Thu Feb 05 16:03:27 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","22416","testFilterBy90Epoch()","","Thu Feb 05 16:04:58 UTC 2026","broken","Thu Feb 05 16:05:21 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","22346","testGoToOpenWorld()","","Thu Feb 05 16:04:36 UTC 2026","broken","Thu Feb 05 16:04:58 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"Verify that the user can go to the strategy page","22315","testGoToStrategy()","","Thu Feb 05 16:03:50 UTC 2026","broken","Thu Feb 05 16:04:13 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"","6704","testHomePageChangeLanguageToEn()","","Thu Feb 05 16:05:26 UTC 2026","passed","Thu Feb 05 16:05:32 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","22272","testChangeLanguage()","","Thu Feb 05 16:06:20 UTC 2026","broken","Thu Feb 05 16:06:42 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"","4889","testSearchCyberpunk()","","Thu Feb 05 16:06:06 UTC 2026","passed","Thu Feb 05 16:06:11 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","4663","testSearchBindingOf()","","Thu Feb 05 16:06:15 UTC 2026","passed","Thu Feb 05 16:06:20 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
