"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can go to the strategy page","22579","testGoToStrategy()","","Fri Feb 06 09:04:29 UTC 2026","broken","Fri Feb 06 09:04:52 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"","22719","testGoToAssistancePage()","","Fri Feb 06 09:07:21 UTC 2026","broken","Fri Feb 06 09:07:43 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","22882","testFilterBy90Epoch()","","Fri Feb 06 09:05:36 UTC 2026","broken","Fri Feb 06 09:05:59 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"","5131","testResetFilters()","","Fri Feb 06 09:06:39 UTC 2026","failed","Fri Feb 06 09:06:44 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","22736","testClickFirstGameInSwiper()","","Fri Feb 06 09:06:12 UTC 2026","broken","Fri Feb 06 09:06:34 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","5719","goToJobOfferAndSearchForAJob()","","Fri Feb 06 09:07:43 UTC 2026","broken","Fri Feb 06 09:07:49 UTC 2026","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"","4534","testSearchCyberpunk()","","Fri Feb 06 09:06:44 UTC 2026","passed","Fri Feb 06 09:06:49 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","2380","testHomePageIsDisplayed()","","Fri Feb 06 09:06:03 UTC 2026","passed","Fri Feb 06 09:06:05 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","47365","testOpenWorldGamesDisplay()","","Fri Feb 06 09:02:55 UTC 2026","broken","Fri Feb 06 09:03:43 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","22719","testChangeLanguage()","","Fri Feb 06 09:06:58 UTC 2026","broken","Fri Feb 06 09:07:21 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","22411","testGoToOpenWorld()","","Fri Feb 06 09:05:14 UTC 2026","broken","Fri Feb 06 09:05:36 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"","6252","testHomePageChangeLanguageToEn()","","Fri Feb 06 09:06:05 UTC 2026","passed","Fri Feb 06 09:06:12 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","4530","testFirstResultContainsWitcher()","","Fri Feb 06 09:06:49 UTC 2026","broken","Fri Feb 06 09:06:54 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","3540","testSliderLeft()","","Fri Feb 06 09:05:59 UTC 2026","passed","Fri Feb 06 09:06:03 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"Verify that the user can change the epoch filter to 2010 inside strategy games","23634","testFilterBy2010Epoch()","","Fri Feb 06 09:03:43 UTC 2026","broken","Fri Feb 06 09:04:07 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"Verify that the user can scroll to the likeable tags","22429","testScrollToLikableTags()","","Fri Feb 06 09:04:52 UTC 2026","broken","Fri Feb 06 09:05:14 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"","4461","testSearchBindingOf()","","Fri Feb 06 09:06:54 UTC 2026","passed","Fri Feb 06 09:06:58 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","5036","testFilterGoodOldGames()","","Fri Feb 06 09:06:34 UTC 2026","passed","Fri Feb 06 09:06:39 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","22461","testScrollToDisplayGames()","","Fri Feb 06 09:04:07 UTC 2026","broken","Fri Feb 06 09:04:29 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
