"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2407","testSliderLeft()","","Fri Feb 06 12:51:12 UTC 2026","passed","Fri Feb 06 12:51:15 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","22525","testScrollToDisplayGames()","","Fri Feb 06 12:49:18 UTC 2026","broken","Fri Feb 06 12:49:41 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"","4298","testFirstResultContainsWitcher()","","Fri Feb 06 12:52:01 UTC 2026","broken","Fri Feb 06 12:52:05 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","28144","testOpenWorldGamesDisplay()","","Fri Feb 06 12:48:26 UTC 2026","broken","Fri Feb 06 12:48:55 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","6351","testHomePageChangeLanguageToEn()","","Fri Feb 06 12:51:17 UTC 2026","passed","Fri Feb 06 12:51:23 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","22304","testChangeLanguage()","","Fri Feb 06 12:52:10 UTC 2026","broken","Fri Feb 06 12:52:32 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"Verify that the user can scroll to the likeable tags","23136","testScrollToLikableTags()","","Fri Feb 06 12:50:03 UTC 2026","broken","Fri Feb 06 12:50:26 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"","4782","testFilterGoodOldGames()","","Fri Feb 06 12:51:46 UTC 2026","passed","Fri Feb 06 12:51:51 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"Verify that the user can change the epoch filter to 2010 inside strategy games","23384","testFilterBy2010Epoch()","","Fri Feb 06 12:48:55 UTC 2026","broken","Fri Feb 06 12:49:18 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"","4852","testSearchCyberpunk()","","Fri Feb 06 12:51:56 UTC 2026","passed","Fri Feb 06 12:52:01 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","23629","testFilterBy90Epoch()","","Fri Feb 06 12:50:48 UTC 2026","broken","Fri Feb 06 12:51:12 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","22488","testGoToOpenWorld()","","Fri Feb 06 12:50:26 UTC 2026","broken","Fri Feb 06 12:50:48 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"","22747","testGoToAssistancePage()","","Fri Feb 06 12:52:32 UTC 2026","broken","Fri Feb 06 12:52:55 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
"","22915","testClickFirstGameInSwiper()","","Fri Feb 06 12:51:23 UTC 2026","broken","Fri Feb 06 12:51:46 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","4326","goToJobOfferAndSearchForAJob()","","Fri Feb 06 12:52:55 UTC 2026","broken","Fri Feb 06 12:52:59 UTC 2026","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"Verify that the user can go to the strategy page","22348","testGoToStrategy()","","Fri Feb 06 12:49:41 UTC 2026","broken","Fri Feb 06 12:50:03 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"","2235","testHomePageIsDisplayed()","","Fri Feb 06 12:51:15 UTC 2026","passed","Fri Feb 06 12:51:17 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","4708","testSearchBindingOf()","","Fri Feb 06 12:52:05 UTC 2026","passed","Fri Feb 06 12:52:10 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","5071","testResetFilters()","","Fri Feb 06 12:51:51 UTC 2026","failed","Fri Feb 06 12:51:56 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
