"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5972","testSearchBindingOf()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","6069","testResetFilters()","","2026-06-26","failed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","23642","testGoToAssistancePage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","23146","testGoToOpenWorld()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"Verify that the user can scroll to the likeable tags","22980","testScrollToLikableTags()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"","2625","testHomePageIsDisplayed()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","8446","testHomePageChangeLanguageToEn()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","5717","testFilterGoodOldGames()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"","35131","testChangeLanguage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"","4548","testSearchCyberpunk()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","22932","testFilterBy90Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","22617","testScrollToDisplayGames()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"Verify that the user can change the epoch filter to 2010 inside strategy games","23248","testFilterBy2010Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"Verify that the user can go to the strategy page","23007","testGoToStrategy()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"","2009","goToJobOfferAndSearchForAJob()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"","22656","testSliderLeft()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","22595","testOpenWorldGamesDisplay()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","4517","testFirstResultContainsWitcher()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","22959","testClickFirstGameInSwiper()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
