"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5376","testResetFilters()","","Thu Jan 22 15:52:44 UTC 2026","failed","Thu Jan 22 15:52:50 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","4244","testResetFilters()","","Thu Jan 22 15:53:04 UTC 2026","passed","Thu Jan 22 15:53:09 UTC 2026","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","testResetFilters"
"","4770","testFilterGoodOldGames()","","Thu Jan 22 15:52:40 UTC 2026","passed","Thu Jan 22 15:52:44 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"","22882","testClickFirstGameInSwiper()","","Thu Jan 22 15:52:17 UTC 2026","broken","Thu Jan 22 15:52:40 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","26192","testHomePageChangeLanguageToEn()","","Thu Jan 22 15:51:51 UTC 2026","broken","Thu Jan 22 15:52:17 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","4793","testSearchBindingOf()","","Thu Jan 22 15:53:00 UTC 2026","passed","Thu Jan 22 15:53:04 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","4934","testSearchCyberpunk()","","Thu Jan 22 15:52:50 UTC 2026","passed","Thu Jan 22 15:52:55 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","2686","testHomePageIsDisplayed()","","Thu Jan 22 15:51:48 UTC 2026","passed","Thu Jan 22 15:51:51 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","4996","testFirstResultContainsWitcher()","","Thu Jan 22 15:52:55 UTC 2026","passed","Thu Jan 22 15:53:00 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","13003","testSliderLeft()","","Thu Jan 22 15:51:35 UTC 2026","passed","Thu Jan 22 15:51:48 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
