"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6108","testFilterGoodOldGames()","","Thu Feb 05 15:01:01 UTC 2026","passed","Thu Feb 05 15:01:07 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","32520","testOpenWorldGamesDisplay()","","Thu Feb 05 14:57:37 UTC 2026","broken","Thu Feb 05 14:58:10 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","7023","testHomePageChangeLanguageToEn()","","Thu Feb 05 15:00:31 UTC 2026","passed","Thu Feb 05 15:00:38 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","4751","testSearchCyberpunk()","","Thu Feb 05 15:01:12 UTC 2026","passed","Thu Feb 05 15:01:17 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"Verify that the user can go to the strategy page","22564","testGoToStrategy()","","Thu Feb 05 14:58:56 UTC 2026","broken","Thu Feb 05 14:59:19 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","22411","testGoToOpenWorld()","","Thu Feb 05 14:59:41 UTC 2026","broken","Thu Feb 05 15:00:04 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"","6208","testFirstResultContainsWitcher()","","Thu Feb 05 15:01:17 UTC 2026","passed","Thu Feb 05 15:01:23 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","23045","testScrollToDisplayGames()","","Thu Feb 05 14:58:33 UTC 2026","broken","Thu Feb 05 14:58:56 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"Verify that the user can change the epoch filter to 2010 inside strategy games","23393","testFilterBy2010Epoch()","","Thu Feb 05 14:58:10 UTC 2026","broken","Thu Feb 05 14:58:33 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","22358","testFilterBy90Epoch()","","Thu Feb 05 15:00:04 UTC 2026","broken","Thu Feb 05 15:00:26 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"","5030","testResetFilters()","","Thu Feb 05 15:01:07 UTC 2026","failed","Thu Feb 05 15:01:12 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","4652","testSearchBindingOf()","","Thu Feb 05 15:01:23 UTC 2026","passed","Thu Feb 05 15:01:28 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","10658","goToJobOfferAndSearchForAJob()","","Thu Feb 05 15:01:28 UTC 2026","broken","Thu Feb 05 15:01:38 UTC 2026","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"","2491","testSliderLeft()","","Thu Feb 05 15:00:26 UTC 2026","passed","Thu Feb 05 15:00:29 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","2282","testHomePageIsDisplayed()","","Thu Feb 05 15:00:29 UTC 2026","passed","Thu Feb 05 15:00:31 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","22933","testClickFirstGameInSwiper()","","Thu Feb 05 15:00:38 UTC 2026","broken","Thu Feb 05 15:01:01 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"Verify that the user can scroll to the likeable tags","22614","testScrollToLikableTags()","","Thu Feb 05 14:59:19 UTC 2026","broken","Thu Feb 05 14:59:41 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
