"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can scroll to the likeable tags","22910","testScrollToLikableTags()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"","1987","goToJobOfferAndSearchForAJob()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"Verify that the user can go to the strategy page","22595","testGoToStrategy()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","22886","testFilterBy90Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"","23144","testClickFirstGameInSwiper()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","5615","testFirstResultContainsWitcher()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","22569","testSliderLeft()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","9398","testHomePageChangeLanguageToEn()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","43586","testChangeLanguage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"","22710","testGoToAssistancePage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","22700","testOpenWorldGamesDisplay()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","22533","testGoToOpenWorld()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"","22623","testCommunityMenuIsDisplayed()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testCommunityMenuIsDisplayed"
"","3160","testWishlistDropdown()","","2026-06-26","failed","2026-06-26","","hesias.selenium.practices.correction.tests.ForumTest","hesias.selenium.practices.correction.tests.ForumTest","testWishlistDropdown"
"","5050","testSearchCyberpunk()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"Verify that the user can change the epoch filter to 2010 inside strategy games","22894","testFilterBy2010Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"","5090","testFilterGoodOldGames()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"","5216","testResetFilters()","","2026-06-26","failed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","22669","testScrollToDisplayGames()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"","4870","testSearchBindingOf()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","2490","testHomePageIsDisplayed()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
