"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","23080","testFilterBy90Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","22533","testGoToOpenWorld()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"","5270","testFilterGoodOldGames()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"","22554","testSliderLeft()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","2493","goToJobOfferAndSearchForAJob()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"","4732","testFirstResultContainsWitcher()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","23100","testScrollToDisplayGames()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"","4601","testSearchCyberpunk()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"Verify that the user can scroll to the likeable tags","22979","testScrollToLikableTags()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"Verify that the user can go to the strategy page","23027","testGoToStrategy()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"Verify that the user can change the epoch filter to 2010 inside strategy games","22544","testFilterBy2010Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"","37869","testChangeLanguage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"","2445","testHomePageIsDisplayed()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","23058","testClickFirstGameInSwiper()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","8329","testHomePageChangeLanguageToEn()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","5317","testResetFilters()","","2026-06-26","failed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","4919","testSearchBindingOf()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","22577","testCommunityMenuIsDisplayed()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testCommunityMenuIsDisplayed"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","22633","testOpenWorldGamesDisplay()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","22695","testGoToAssistancePage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
