"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5273","testFilterGoodOldGames()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","22745","testOpenWorldGamesDisplay()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","2557","testHomePageIsDisplayed()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","4878","testFirstResultContainsWitcher()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","5353","testResetFilters()","","2026-06-26","failed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","1960","goToJobOfferAndSearchForAJob()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"","4831","testSearchCyberpunk()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","22980","testGoToOpenWorld()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"","4659","testSearchBindingOf()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"Verify that the user can go to the strategy page","22516","testGoToStrategy()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"","5542","testHomePageChangeLanguageToEn()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"Verify that the user can scroll to the likeable tags","22544","testScrollToLikableTags()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"","22788","testClickFirstGameInSwiper()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","22720","testCommunityMenuIsDisplayed()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testCommunityMenuIsDisplayed"
"","22399","testSliderLeft()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","38328","testChangeLanguage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"","22517","testGoToAssistancePage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","23031","testScrollToDisplayGames()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"Verify that the user can change the epoch filter to 2010 inside strategy games","24613","testFilterBy2010Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","22930","testFilterBy90Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
