"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can change the epoch filter to 2010 inside strategy games","23264","testFilterBy2010Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"Verify that the user can go to the strategy page","22976","testGoToStrategy()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"","4652","testSearchCyberpunk()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","22447","testGoToAssistancePage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
"","2014","goToJobOfferAndSearchForAJob()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"","2438","testHomePageIsDisplayed()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","22831","testFilterBy90Epoch()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","23050","testGoToOpenWorld()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"","4498","testFirstResultContainsWitcher()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","22470","testSliderLeft()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","22945","testScrollToDisplayGames()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","23170","testOpenWorldGamesDisplay()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","5581","testFilterGoodOldGames()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"","32005","testChangeLanguage()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"","4616","testSearchBindingOf()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","22837","testClickFirstGameInSwiper()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"Verify that the user can scroll to the likeable tags","23066","testScrollToLikableTags()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"","5460","testHomePageChangeLanguageToEn()","","2026-06-26","passed","2026-06-26","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","6481","testResetFilters()","","2026-06-26","broken","2026-06-26","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
